movie_id,title,genres,release_year
8,Edison Kinetoscopic Record of a Sneeze (1894),Documentary|Short,1894
10,La sortie des usines Lumière (1895),Documentary|Short,1895
12,The Arrival of a Train (1896),Documentary|Short,1896
25,The Oxford and Cambridge University Boat Race (1895),Unknown,1895
91,Le manoir du diable (1896),Short|Horror,1896
131,Une nuit terrible (1896),Short|Comedy|Horror,1896
417,A Trip to the Moon (1902),Short|Action|Adventure|Comedy|Fantasy|Sci-Fi,1902
439,The Great Train Robbery (1903),Short|Action|Crime|Western,1903
443,"Hiawatha, the Messiah of the Ojibway (1903)",Unknown,1903
628,The Adventures of Dollie (1908),Action|Short,1908
833,The Country Doctor (1909),Short|Drama,1909
1223,Frankenstein (1910),Short|Horror|Sci-Fi,1910
1740,The Lonedale Operator (1911),Short|Drama|Romance,1911
2101,Cleopatra (1912),Drama|History,1912
2130,L'inferno (1911),Adventure|Drama|Fantasy|Horror,1911
2354,Max et Jane veulent faire du théâtre (1911),Short|Comedy|Romance,1911
2844,Fantômas - À l'ombre de la guillotine (1913),Crime|Drama,1913
3740,Cabiria (1914),Adventure|Drama|History,1914
3863,Dough and Dynamite (1914),Comedy|Short,1914
4099,"His Majesty, the Scarecrow of Oz (1914)",Family|Fantasy|Adventure|Comedy,1914
4100,His Musical Career (1914),Short|Comedy,1914
4101,His New Profession (1914),Short|Comedy,1914
4210,Laughing Gas (1914),Short|Comedy,1914
4395,The New Janitor (1914),Short|Comedy,1914
4413,The Ocean Waif (1916),Short|Comedy|Drama,1916
4457,The Patchwork Girl of Oz (1914),Adventure|Family|Fantasy,1914
4518,Recreation (1914),Comedy|Short,1914
4546,The Rounders (1914),Comedy|Short,1914
4936,The Bank (1915),Comedy|Short,1915
4972,The Birth of a Nation (1915),Drama|History|War,1915
5074,The Champion (1915),Short|Comedy|Sport,1915
5078,The Cheat (1915),Drama,1915
5530,L'héroïsme de Paddy (1915),Unknown,1915
5571,A Jitney Elopement (1915),Short|Comedy,1915
5960,Regeneration (1915),Biography|Crime|Drama|Romance,1915
6177,The Tramp (1915),Short|Comedy,1915
6206,Les vampires (1915),Action|Adventure|Crime|Drama|Mystery|Thriller,1915
6333,"20,000 Leagues Under the Sea (1916)",Action|Adventure|Sci-Fi,1916
6414,Behind the Screen (1916),Short|Comedy|Romance,1916
6437,The Blacklist (1916),Drama,1916
6684,The Fireman (1916),Short|Comedy,1916
6689,The Floorwalker (1916),Short|Comedy,1916
6864,Intolerance: Love's Struggle Throughout the Ages (1916),Drama|History,1916
7145,One A.M. (1916),Comedy|Family|Short,1916
7162,The Pawnshop (1916),Comedy|Short,1916
7264,The Rink (1916),Comedy|Short,1916
7340,Shoes (1916),Drama,1916
7507,The Vagabond (1916),Short|Comedy|Romance,1916
7832,The Cure (1917),Short|Comedy,1917
7880,Easy Street (1917),Short|Comedy,1917
8133,The Immigrant (1917),Short|Comedy|Drama|Romance,1917
8395,Otets Sergiy (1918),Biography|Drama|History,1918
9018,A Dog's Life (1918),Short|Comedy|Drama,1918
9340,The Man Who Woke Up (1918),Unknown,1918
9678,Take a Chance (1918),Comedy|Short,1918
9893,Die Austernprinzessin (1919),Comedy,1919
9968,Broken Blossoms or The Yellow Man and the Girl (1919),Drama|Romance,1919
10180,Godovshchina revolyutsii (1918),Documentary,1918
10193,The Greatest Question (1919),Drama,1919
10247,Herr Arnes pengar (1919),Drama|History,1919
10258,His Royal Slyness (1920),Comedy|Short,1920
10323,Das Cabinet des Dr. Caligari (1920),Fantasy|Horror|Mystery|Thriller,1920
10747,Sunnyside (1919),Comedy|Short,1919
10806,True Heart Susie (1919),Comedy|Drama|Romance,1919
10930,Young Mr. Jazz (1919),Comedy|Short,1919
11130,Dr. Jekyll and Mr. Hyde (1920),Drama|Horror|Sci-Fi,1920
11267,Headin' Home (1920),Biography|Comedy|Drama,1920
11439,The Mark of Zorro (1920),Adventure|Romance|Western,1920
11508,Neighbors (1920),Short|Comedy|Romance,1920
11541,One Week (1920),Short|Comedy,1920
11607,Prästänkan (1920),Comedy|Drama|Horror,1920
11656,The Scarecrow (1920),Comedy|Short|Family,1920
11717,The Son of Tarzan (1920),Action|Adventure,1920
11841,Way Down East (1920),Drama|Romance,1920
11870,Within Our Gates (1920),Drama|Romance,1920
12224,The Goat (1921),Comedy|Short,1921
12278,The 'High Sign' (1921),Short|Comedy,1921
12349,The Kid (1921),Comedy|Drama|Family,1921
12364,Körkarlen (1921),Drama|Fantasy|Horror,1921
12494,Der müde Tod (1921),Drama|Fantasy|Thriller,1921
12532,Orphans of the Storm (1921),Drama|History|Romance,1921
12651,Schloß Vogeloed (1921),Crime|Drama|Horror|Mystery,1921
12675,The Sheik (1921),Adventure|Drama|Romance,1921
12844,White and Unmarried (1921),Unknown,1921
13025,Cops (1922),Short|Comedy|Family,1922
13086,"Dr. Mabuse, der Spieler (1922)",Crime|Mystery|Thriller,1922
13099,The Electric House (1922),Short|Comedy,1922
13140,Foolish Wives (1922),Drama|Thriller,1922
13257,Häxan (1922),Documentary|Fantasy|Horror,1922
13427,Nanook of the North (1922),Documentary,1922
13442,Nosferatu (1922),Fantasy|Horror,1922
13486,Pay Day (1922),Comedy|Short,1922
13571,Salomé (1922),Biography|Drama|History|Horror,1922
13626,La souriante Madame Beudet (1923),Drama,1923
13741,Das Weib des Pharao (1922),Drama|History,1922
13858,The Balloonatic (1923),Short|Comedy,1923
14142,The Hunchback of Notre Dame (1923),Drama|Horror|Romance,1923
14341,Our Hospitality (1923),Comedy|Romance|Thriller,1923
14390,En rackarunge (1924),Drama,1924
14417,La roue (1923),Drama,1923
14429,Safety Last! (1923),Comedy|Thriller,1923
14497,Souls for Sale (1923),Comedy|Drama|Romance,1923
14532,The Ten Commandments (1923),Biography|Drama|Fantasy,1923
14538,Three Ages (1923),Comedy,1923
14624,A Woman of Paris: A Drama of Fate (1923),Drama|Romance,1923
14664,Alice's Spooky Adventure (1924),Animation|Short|Comedy,1924
14872,Entr'acte (1924),Short,1924
14972,He Who Gets Slapped (1924),Drama|Romance|Thriller,1924
15002,Hot Water (1924),Comedy,1924
15016,The Iron Horse (1924),History|Romance|Western,1924
15039,Kinoglaz (1924),Documentary,1924
15064,Der letzte Mann (1924),Drama,1924
15163,The Navigator (1924),Action|Comedy|Romance,1924
15174,Die Nibelungen: Kriemhilds Rache (1924),Adventure|Drama|Fantasy,1924
15175,Die Nibelungen: Siegfried (1924),Adventure|Drama|Fantasy,1924
15202,Orlacs Hände (1924),Crime|Horror|Mystery|Sci-Fi|Thriller,1924
15233,En piga bland pigor (1924),Comedy|Drama,1924
15310,The Sea Hawk (1924),Adventure|Drama|Romance,1924
15324,Sherlock Jr. (1924),Action|Comedy|Romance,1924
15361,Stachka (1925),Drama,1925
15400,The Thief of Bagdad (1924),Adventure|Family|Fantasy|Romance,1924
15477,West of Hot Dog (1924),Short|Western|Comedy,1924
15532,Die Abenteuer des Prinzen Achmed (1926),Animation|Adventure|Fantasy|Romance,1926
15624,The Big Parade (1925),Drama|Romance|War,1925
15648,Bronenosets Potyomkin (1925),Drama|History,1925
15673,Shakhmatnaya goryachka (1925),Comedy|Short,1925
15768,Du skal ære din hustru (1925),Drama,1925
15772,De adelaar (1925),Action|Comedy|Drama|History|Romance,1925
15864,The Gold Rush (1925),Adventure|Comedy|Drama|Family,1925
15881,Greed (1924),Drama|Thriller|Western,1924
16039,The Lost World (1925),Adventure|Fantasy|Sci-Fi,1925
16172,"Oh, Doctor! (1925)",Comedy,1925
16220,The Phantom of the Opera (1925),Horror,1925
16230,The Pleasure Garden (1925),Drama|Romance,1925
16332,Seven Chances (1925),Comedy|Romance,1925
16361,Smouldering Fires (1925),Drama,1925
16544,The Wizard of Oz (1925),Comedy|Family|Fantasy|Adventure,1925
16600,Along Came Auntie (1926),Comedy|Short,1926
16654,The Black Pirate (1926),Adventure|Action,1926
16747,Crazy Like a Fox (1926),Short|Comedy,1926
16847,Faust: Eine deutsche Volkssage (1926),Drama|Fantasy|Horror,1926
16903,45 Minutes from Hollywood (1926),Short|Comedy,1926
16954,Hell's Four Hundred (1926),Unknown,1926
17075,The Lodger: A Story of the London Fog (1927),Crime|Drama|Mystery|Thriller,1927
17136,Metropolis (1927),Drama|Sci-Fi,1927
17196,Nana (1926),Drama|Romance,1926
17350,The Scarlet Letter (1926),Drama,1926
17378,Shinel (1926),Drama,1926
17423,Sparrows (1926),Drama,1926
17463,3 Bad Men (1926),Romance|Western,1926
